"Path","Filename","UTFCodes","Characters"
"glb_flat/emoji_u1f36a.glb","emoji_u1f36a.glb","1f36a","🍪"
"glb_flat/emoji_u1f36b.glb","emoji_u1f36b.glb","1f36b","🍫"
"glb_flat/emoji_u1f36c.glb","emoji_u1f36c.glb","1f36c","🍬"
"glb_flat/emoji_u1f36d.glb","emoji_u1f36d.glb","1f36d","🍭"
"glb_flat/emoji_u1f36e.glb","emoji_u1f36e.glb","1f36e","🍮"
"glb_flat/emoji_u1f36f.glb","emoji_u1f36f.glb","1f36f","🍯"
"glb_flat/emoji_u1f370.glb","emoji_u1f370.glb","1f370","🍰"
"glb_flat/emoji_u1f371.glb","emoji_u1f371.glb","1f371","🍱"
"glb_flat/emoji_u1f372.glb","emoji_u1f372.glb","1f372","🍲"
"glb_flat/emoji_u1f373.glb","emoji_u1f373.glb","1f373","🍳"
"glb_flat/emoji_u1f374.glb","emoji_u1f374.glb","1f374","🍴"
"glb_flat/emoji_u1f375.glb","emoji_u1f375.glb","1f375","🍵"
"glb_flat/emoji_u1f376.glb","emoji_u1f376.glb","1f376","🍶"
"glb_flat/emoji_u1f377.glb","emoji_u1f377.glb","1f377","🍷"
"glb_flat/emoji_u1f378.glb","emoji_u1f378.glb","1f378","🍸"
"glb_flat/emoji_u1f379.glb","emoji_u1f379.glb","1f379","🍹"
"glb_flat/emoji_u1f37a.glb","emoji_u1f37a.glb","1f37a","🍺"
"glb_flat/emoji_u1f37b.glb","emoji_u1f37b.glb","1f37b","🍻"
"glb_flat/emoji_u1f37c.glb","emoji_u1f37c.glb","1f37c","🍼"
"glb_flat/emoji_u1f37d.glb","emoji_u1f37d.glb","1f37d","🍽"
"glb_flat/emoji_u1f37e.glb","emoji_u1f37e.glb","1f37e","🍾"
"glb_flat/emoji_u1f37f.glb","emoji_u1f37f.glb","1f37f","🍿"
"glb_flat/emoji_u1f380.glb","emoji_u1f380.glb","1f380","🎀"
"glb_flat/emoji_u1f381.glb","emoji_u1f381.glb","1f381","🎁"
"glb_flat/emoji_u1f382.glb","emoji_u1f382.glb","1f382","🎂"
"glb_flat/emoji_u1f383.glb","emoji_u1f383.glb","1f383","🎃"
"glb_flat/emoji_u1f384.glb","emoji_u1f384.glb","1f384","🎄"
"glb_flat/emoji_u1f385_1f3fb.glb","emoji_u1f385_1f3fb.glb","1f385;1f3fb","🎅🏻"
"glb_flat/emoji_u1f385_1f3fc.glb","emoji_u1f385_1f3fc.glb","1f385;1f3fc","🎅🏼"
"glb_flat/emoji_u1f385_1f3fd.glb","emoji_u1f385_1f3fd.glb","1f385;1f3fd","🎅🏽"
"glb_flat/emoji_u1f385_1f3fe.glb","emoji_u1f385_1f3fe.glb","1f385;1f3fe","🎅🏾"
"glb_flat/emoji_u1f385_1f3ff.glb","emoji_u1f385_1f3ff.glb","1f385;1f3ff","🎅🏿"
"glb_flat/emoji_u1f385.glb","emoji_u1f385.glb","1f385","🎅"
"glb_flat/emoji_u1f386.glb","emoji_u1f386.glb","1f386","🎆"
"glb_flat/emoji_u1f387.glb","emoji_u1f387.glb","1f387","🎇"
"glb_flat/emoji_u1f388.glb","emoji_u1f388.glb","1f388","🎈"
"glb_flat/emoji_u1f389.glb","emoji_u1f389.glb","1f389","🎉"
"glb_flat/emoji_u1f38a.glb","emoji_u1f38a.glb","1f38a","🎊"
"glb_flat/emoji_u1f38b.glb","emoji_u1f38b.glb","1f38b","🎋"
"glb_flat/emoji_u1f38c.glb","emoji_u1f38c.glb","1f38c","🎌"
"glb_flat/emoji_u1f38d.glb","emoji_u1f38d.glb","1f38d","🎍"
"glb_flat/emoji_u1f38e.glb","emoji_u1f38e.glb","1f38e","🎎"
"glb_flat/emoji_u1f38f.glb","emoji_u1f38f.glb","1f38f","🎏"
"glb_flat/emoji_u1f390.glb","emoji_u1f390.glb","1f390","🎐"
"glb_flat/emoji_u1f391.glb","emoji_u1f391.glb","1f391","🎑"
"glb_flat/emoji_u1f392.glb","emoji_u1f392.glb","1f392","🎒"
"glb_flat/emoji_u1f393.glb","emoji_u1f393.glb","1f393","🎓"
"glb_flat/emoji_u1f396.glb","emoji_u1f396.glb","1f396","🎖"
"glb_flat/emoji_u1f397.glb","emoji_u1f397.glb","1f397","🎗"
"glb_flat/emoji_u1f399.glb","emoji_u1f399.glb","1f399","🎙"
"glb_flat/emoji_u1f39a.glb","emoji_u1f39a.glb","1f39a","🎚"
"glb_flat/emoji_u1f39b.glb","emoji_u1f39b.glb","1f39b","🎛"
"glb_flat/emoji_u1f39e.glb","emoji_u1f39e.glb","1f39e","🎞"
"glb_flat/emoji_u1f39f.glb","emoji_u1f39f.glb","1f39f","🎟"
"glb_flat/emoji_u1f3a0.glb","emoji_u1f3a0.glb","1f3a0","🎠"
"glb_flat/emoji_u1f3a1.glb","emoji_u1f3a1.glb","1f3a1","🎡"
"glb_flat/emoji_u1f3a2.glb","emoji_u1f3a2.glb","1f3a2","🎢"
"glb_flat/emoji_u1f3a3.glb","emoji_u1f3a3.glb","1f3a3","🎣"
"glb_flat/emoji_u1f3a4.glb","emoji_u1f3a4.glb","1f3a4","🎤"
"glb_flat/emoji_u1f3a5.glb","emoji_u1f3a5.glb","1f3a5","🎥"
"glb_flat/emoji_u1f3a6.glb","emoji_u1f3a6.glb","1f3a6","🎦"
"glb_flat/emoji_u1f3a7.glb","emoji_u1f3a7.glb","1f3a7","🎧"
"glb_flat/emoji_u1f3a8.glb","emoji_u1f3a8.glb","1f3a8","🎨"
"glb_flat/emoji_u1f3a9.glb","emoji_u1f3a9.glb","1f3a9","🎩"
"glb_flat/emoji_u1f3aa.glb","emoji_u1f3aa.glb","1f3aa","🎪"
"glb_flat/emoji_u1f3ab.glb","emoji_u1f3ab.glb","1f3ab","🎫"
"glb_flat/emoji_u1f3ac.glb","emoji_u1f3ac.glb","1f3ac","🎬"
"glb_flat/emoji_u1f3ad.glb","emoji_u1f3ad.glb","1f3ad","🎭"
"glb_flat/emoji_u1f3ae.glb","emoji_u1f3ae.glb","1f3ae","🎮"
"glb_flat/emoji_u1f3af.glb","emoji_u1f3af.glb","1f3af","🎯"
"glb_flat/emoji_u1f3b0.glb","emoji_u1f3b0.glb","1f3b0","🎰"
"glb_flat/emoji_u1f3b1.glb","emoji_u1f3b1.glb","1f3b1","🎱"
"glb_flat/emoji_u1f3b2.glb","emoji_u1f3b2.glb","1f3b2","🎲"
"glb_flat/emoji_u1f3b3.glb","emoji_u1f3b3.glb","1f3b3","🎳"
"glb_flat/emoji_u1f3b4.glb","emoji_u1f3b4.glb","1f3b4","🎴"
"glb_flat/emoji_u1f3b5.glb","emoji_u1f3b5.glb","1f3b5","🎵"
"glb_flat/emoji_u1f3b6.glb","emoji_u1f3b6.glb","1f3b6","🎶"
"glb_flat/emoji_u1f3b7.glb","emoji_u1f3b7.glb","1f3b7","🎷"
"glb_flat/emoji_u1f3b8.glb","emoji_u1f3b8.glb","1f3b8","🎸"
"glb_flat/emoji_u1f3b9.glb","emoji_u1f3b9.glb","1f3b9","🎹"
"glb_flat/emoji_u1f3ba.glb","emoji_u1f3ba.glb","1f3ba","🎺"
"glb_flat/emoji_u1f3bb.glb","emoji_u1f3bb.glb","1f3bb","🎻"
"glb_flat/emoji_u1f3bc.glb","emoji_u1f3bc.glb","1f3bc","🎼"
"glb_flat/emoji_u1f3bd.glb","emoji_u1f3bd.glb","1f3bd","🎽"
"glb_flat/emoji_u1f3be.glb","emoji_u1f3be.glb","1f3be","🎾"
"glb_flat/emoji_u1f3bf.glb","emoji_u1f3bf.glb","1f3bf","🎿"
"glb_flat/emoji_u1f3c0.glb","emoji_u1f3c0.glb","1f3c0","🏀"
"glb_flat/emoji_u1f3c1.glb","emoji_u1f3c1.glb","1f3c1","🏁"
"glb_flat/emoji_u1f3c2_1f3fb.glb","emoji_u1f3c2_1f3fb.glb","1f3c2;1f3fb","🏂🏻"
"glb_flat/emoji_u1f3c2_1f3fc.glb","emoji_u1f3c2_1f3fc.glb","1f3c2;1f3fc","🏂🏼"
"glb_flat/emoji_u1f3c2_1f3fd.glb","emoji_u1f3c2_1f3fd.glb","1f3c2;1f3fd","🏂🏽"
"glb_flat/emoji_u1f3c2_1f3fe.glb","emoji_u1f3c2_1f3fe.glb","1f3c2;1f3fe","🏂🏾"
"glb_flat/emoji_u1f3c2_1f3ff.glb","emoji_u1f3c2_1f3ff.glb","1f3c2;1f3ff","🏂🏿"
"glb_flat/emoji_u1f3c2.glb","emoji_u1f3c2.glb","1f3c2","🏂"
"glb_flat/emoji_u1f3c3_1f3fb_200d_2640_200d_27a1.glb","emoji_u1f3c3_1f3fb_200d_2640_200d_27a1.glb","1f3c3;1f3fb;2640","🏃🏻♀"
"glb_flat/emoji_u1f3c3_1f3fb_200d_2640.glb","emoji_u1f3c3_1f3fb_200d_2640.glb","1f3c3;1f3fb;2640","🏃🏻♀"
"glb_flat/emoji_u1f3c3_1f3fb_200d_2642_200d_27a1.glb","emoji_u1f3c3_1f3fb_200d_2642_200d_27a1.glb","1f3c3;1f3fb;2642","🏃🏻♂"
"glb_flat/emoji_u1f3c3_1f3fb_200d_2642.glb","emoji_u1f3c3_1f3fb_200d_2642.glb","1f3c3;1f3fb;2642","🏃🏻♂"
"glb_flat/emoji_u1f3c3_1f3fb_200d_27a1.glb","emoji_u1f3c3_1f3fb_200d_27a1.glb","1f3c3;1f3fb","🏃🏻"
"glb_flat/emoji_u1f3c3_1f3fb.glb","emoji_u1f3c3_1f3fb.glb","1f3c3;1f3fb","🏃🏻"
"glb_flat/emoji_u1f3c3_1f3fc_200d_2640_200d_27a1.glb","emoji_u1f3c3_1f3fc_200d_2640_200d_27a1.glb","1f3c3;1f3fc;2640","🏃🏼♀"
"glb_flat/emoji_u1f3c3_1f3fc_200d_2640.glb","emoji_u1f3c3_1f3fc_200d_2640.glb","1f3c3;1f3fc;2640","🏃🏼♀"
"glb_flat/emoji_u1f3c3_1f3fc_200d_2642_200d_27a1.glb","emoji_u1f3c3_1f3fc_200d_2642_200d_27a1.glb","1f3c3;1f3fc;2642","🏃🏼♂"
"glb_flat/emoji_u1f3c3_1f3fc_200d_2642.glb","emoji_u1f3c3_1f3fc_200d_2642.glb","1f3c3;1f3fc;2642","🏃🏼♂"
"glb_flat/emoji_u1f3c3_1f3fc_200d_27a1.glb","emoji_u1f3c3_1f3fc_200d_27a1.glb","1f3c3;1f3fc","🏃🏼"
"glb_flat/emoji_u1f3c3_1f3fc.glb","emoji_u1f3c3_1f3fc.glb","1f3c3;1f3fc","🏃🏼"
"glb_flat/emoji_u1f3c3_1f3fd_200d_2640_200d_27a1.glb","emoji_u1f3c3_1f3fd_200d_2640_200d_27a1.glb","1f3c3;1f3fd;2640","🏃🏽♀"
"glb_flat/emoji_u1f3c3_1f3fd_200d_2640.glb","emoji_u1f3c3_1f3fd_200d_2640.glb","1f3c3;1f3fd;2640","🏃🏽♀"
"glb_flat/emoji_u1f3c3_1f3fd_200d_2642_200d_27a1.glb","emoji_u1f3c3_1f3fd_200d_2642_200d_27a1.glb","1f3c3;1f3fd;2642","🏃🏽♂"
"glb_flat/emoji_u1f3c3_1f3fd_200d_2642.glb","emoji_u1f3c3_1f3fd_200d_2642.glb","1f3c3;1f3fd;2642","🏃🏽♂"
"glb_flat/emoji_u1f3c3_1f3fd_200d_27a1.glb","emoji_u1f3c3_1f3fd_200d_27a1.glb","1f3c3;1f3fd","🏃🏽"
"glb_flat/emoji_u1f3c3_1f3fd.glb","emoji_u1f3c3_1f3fd.glb","1f3c3;1f3fd","🏃🏽"
"glb_flat/emoji_u1f3c3_1f3fe_200d_2640_200d_27a1.glb","emoji_u1f3c3_1f3fe_200d_2640_200d_27a1.glb","1f3c3;1f3fe;2640","🏃🏾♀"
